### LOVD-version 3000-180 ### Transcripts Quick Download format ### This file can not be imported ###
# charset=UTF-8
"{{chromosome}}"	"{{geneid}}"	"{{name}}"	"{{id_ncbi}}"	"{{id_protein_ncbi}}"
"15"	"DUOXA2"	"dual oxidase maturation factor 2"	"NM_207581.3"	"NP_997464.2"
"10"	"DUPD1"	"dual specificity phosphatase and pro isomerase domain containing 1"	"NM_001003892.1"	"NP_001003892.1"
"17"	"DUS1L"	"dihydrouridine synthase 1-like (S. cerevisiae)"	"NM_022156.4"	"NP_071439.3"
"16"	"DUS2L"	"dihydrouridine synthase 2-like, SMM1 homolog (S. cerevisiae)"	"NM_017803.3"	"NP_060273.1"
"7"	"DUS4L"	"transcript variant 1"	"NM_181581.2"	"NP_853559.1"
"5"	"DUSP1"	"dual specificity phosphatase 1"	"NM_004417.3"	"NP_004408.1"
"1"	"DUSP10"	"transcript variant 1"	"NM_007207.4"	"NP_009138.1"
"2"	"DUSP11"	"dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)"	"NM_003584.2"	"NP_003575.2"
"1"	"DUSP12"	"dual specificity phosphatase 12"	"NM_007240.1"	"NP_009171.1"
"10"	"DUSP13"	"transcript variant 1"	"NM_001007271.1"	"NP_001007272.1"
"17"	"DUSP14"	"dual specificity phosphatase 14"	"NM_007026.2"	"NP_008957.1"
"20"	"DUSP15"	"transcript variant 1"	"NM_080611.3"	"NP_542178.2"
"12"	"DUSP16"	"dual specificity phosphatase 16"	"NM_030640.2"	"NP_085143.1"
"22"	"DUSP18"	"dual specificity phosphatase 18"	"NM_152511.3"	"NP_689724.3"
"2"	"DUSP19"	"transcript variant 2"	"NM_001142314.1"	"NP_001135786.1"
"2"	"DUSP2"	"dual specificity phosphatase 2"	"NM_004418.3"	"NP_004409.1"
"X"	"DUSP21"	"dual specificity phosphatase 21"	"NM_022076.3"	"NP_071359.3"
"6"	"DUSP22"	"dual specificity phosphatase 22"	"NM_020185.3"	"NP_064570.1"
"1"	"DUSP23"	"dual specificity phosphatase 23"	"NM_017823.3"	"NP_060293.2"
"8"	"DUSP26"	"dual specificity phosphatase 26 (putative)"	"NM_024025.1"	"NP_076930.1"
"1"	"DUSP27"	"dual specificity phosphatase 27 (putative)"	"NM_001080426.1"	"NP_001073895.1"
"2"	"DUSP28"	"dual specificity phosphatase 28"	"NM_001033575.1"	"NP_001028747.1"
"17"	"DUSP3"	"dual specificity phosphatase 3"	"NM_004090.3"	"NP_004081.1"
"8"	"DUSP4"	"transcript variant 1"	"NM_001394.6"	"NP_001385.1"
"10"	"DUSP5"	"dual specificity phosphatase 5"	"NM_004419.3"	"NP_004410.3"
"12"	"DUSP6"	"transcript variant 1"	"NM_001946.2"	"NP_001937.2"
"3"	"DUSP7"	"dual specificity phosphatase 7"	"NM_001947.3"	"NP_001938.2"
"11"	"DUSP8"	"dual specificity phosphatase 8"	"NM_004420.2"	"NP_004411.2"
"X"	"DUSP9"	"dual specificity phosphatase 9"	"NM_001395.2"	"NP_001386.1"
"15"	"DUT"	"transcript variant 1"	"NM_001025248.1"	"NP_001020419.1"
"4"	"DUX4"	"double homeobox 4"	"NM_033178.2"	"NP_149418.3"
"4"	"DUX4L2"	"double homeobox 4 like 2"	"NM_001127386.1"	"NP_001120858.2"
"4"	"DUX4L4"	"double homeobox 4 like 4"	"NM_001177376.1"	"NP_001170847.1"
"4"	"DUX4L5"	"double homeobox 4 like 5"	"NM_001127389.1"	"NP_001120861.2"
"4"	"DUX4L6"	"double homeobox 4 like 6"	"NM_001127388.1"	"NP_001120860.2"
"4"	"DUX4L7"	"double homeobox 4 like 7"	"NM_001127387.1"	"NP_001120859.2"
"19"	"DUXA"	"double homeobox A"	"NM_001012729.1"	"NP_001012747.1"
"1"	"DVL1"	"dishevelled, dsh homolog 1 (Drosophila)"	"NM_004421.2"	"NP_004412.2"
"17"	"DVL2"	"dishevelled, dsh homolog 2 (Drosophila)"	"NM_004422.2"	"NP_004413.1"
"3"	"DVL3"	"dishevelled, dsh homolog 3 (Drosophila)"	"NM_004423.3"	"NP_004414.3"
"10"	"DYDC1"	"transcript variant 1"	"NM_138812.3"	"NP_620167.1"
"10"	"DYDC2"	"transcript variant 1"	"NM_032372.5"	"NP_115748.1"
"18"	"DYM"	"dymeclin"	"NM_017653.3"	"NP_060123.3"
"14"	"DYNC1H1"	"dynein, cytoplasmic 1, heavy chain 1"	"NM_001376.4"	"NP_001367.2"
"7"	"DYNC1I1"	"transcript variant 1"	"NM_004411.4"	"NP_004402.1"
"2"	"DYNC1I2"	"dynein, cytoplasmic 1, intermediate chain 2"	"NM_001378.1"	"NP_001369.1"
"3"	"DYNC1LI1"	"dynein, cytoplasmic 1, light intermediate chain 1"	"NM_016141.3"	"NP_057225.2"
"16"	"DYNC1LI2"	"dynein, cytoplasmic 1, light intermediate chain 2"	"NM_006141.2"	"NP_006132.1"
"11"	"DYNC2H1"	"transcript variant 2"	"NM_001080463.1"	"NP_001073932.1"
"2"	"DYNC2LI1"	"transcript variant 1"	"NM_016008.3"	"NP_057092.2"
"12"	"DYNLL1"	"transcript variant 3"	"NM_003746.2"	"NP_003737.1"
"17"	"DYNLL2"	"dynein, light chain, LC8-type 2"	"NM_080677.2"	"NP_542408.1"
"20"	"DYNLRB1"	"dynein, light chain, roadblock-type 1"	"NM_014183.2"	"NP_054902.1"
"16"	"DYNLRB2"	"dynein, light chain, roadblock-type 2"	"NM_130897.1"	"NP_570967.1"
"6"	"DYNLT1"	"dynein, light chain, Tctex-type 1"	"NM_006519.2"	"NP_006510.1"
"X"	"DYNLT3"	"dynein, light chain, Tctex-type 3"	"NM_006520.2"	"NP_006511.1"
"21"	"DYRK1A"	"transcript variant 1"	"NM_001396.3"	"NP_001387.2"
"19"	"DYRK1B"	"transcript variant a"	"NM_004714.1"	"NP_004705.1"
"12"	"DYRK2"	"transcript variant 1"	"NM_003583.3"	"NP_003574.1"
"1"	"DYRK3"	"transcript variant 1"	"NM_003582.2"	"NP_003573.2"
"12"	"DYRK4"	"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4"	"NM_003845.1"	"NP_003836.1"
"2"	"DYSF"	"transcript variant 8"	"NM_003494.3"	"NP_003485.1"
"2"	"DYTN"	"dystrotelin"	"NM_001093730.1"	"NP_001087199.1"
"15"	"DYX1C1"	"transcript variant 1"	"NM_130810.3"	"NP_570722.2"
"15"	"DYX1C1-CCPG1"	"DYX1C1-CCPG1 readthrough (non-protein coding)"	"NR_037923.1"	""
"20"	"DZANK1"	"double zinc ribbon and ankyrin repeat domains 1"	"NM_001099407.1"	"NP_001092877.1"
"20"	"DZANK1-AS1"	"DZANK1 antisense RNA 1 (tail to tail)"	"NR_034167.1"	""
"13"	"DZIP1"	"transcript variant 1"	"NM_014934.4"	"NP_055749.1"
"3"	"DZIP1L"	"transcript variant 1"	"NM_173543.2"	"NP_775814.2"
"3"	"DZIP3"	"DAZ interacting protein 3, zinc finger"	"NM_014648.3"	"NP_055463.1"
"20"	"E2F1"	"E2F transcription factor 1"	"NM_005225.2"	"NP_005216.1"
"1"	"E2F2"	"E2F transcription factor 2"	"NM_004091.3"	"NP_004082.1"
"6"	"E2F3"	"transcript variant 1"	"NM_001949.3"	"NP_001940.1"
"16"	"E2F4"	"E2F transcription factor 4, p107/p130-binding"	"NM_001950.3"	"NP_001941.2"
"8"	"E2F5"	"transcript variant 1"	"NM_001951.3"	"NP_001942.2"
"2"	"E2F6"	"E2F transcription factor 6"	"NM_198256.2"	"NP_937987.2"
"12"	"E2F7"	"E2F transcription factor 7"	"NM_203394.2"	"NP_976328.2"
"11"	"E2F8"	"transcript variant 1"	"NM_024680.3"	"NP_078956.2"
"16"	"E4F1"	"E4F transcription factor 1"	"NM_004424.3"	"NP_004415.2"
"3"	"EAF1"	"ELL associated factor 1"	"NM_033083.6"	"NP_149074.3"
"3"	"EAF2"	"ELL associated factor 2"	"NM_018456.4"	"NP_060926.2"
"14"	"EAPP"	"E2F-associated phosphoprotein"	"NM_018453.3"	"NP_060923.2"
"16"	"EARS2"	"glutamyl-tRNA synthetase 2, mitochondrial (putative), transcript variant 1"	"NM_001083614.1"	"NP_001077083.1"
"8"	"EBAG9"	"transcript variant 1"	"NM_004215.3"	"NP_004206.1"
"5"	"EBF1"	"early B-cell factor 1"	"NM_024007.3"	"NP_076870.1"
"8"	"EBF2"	"early B-cell factor 2"	"NM_022659.3"	"NP_073150.2"
"10"	"EBF3"	"early B-cell factor 3"	"NM_001005463.2"	"NP_001005463.1"
"20"	"EBF4"	"early B-cell factor 4"	"NM_001110514.1"	"NP_001103984.1"
"19"	"EBI3"	"Epstein-Barr virus induced 3"	"NM_005755.2"	"NP_005746.2"
"10"	"EBLN1"	"endogenous Bornavirus-like nucleoprotein 1"	"NM_001199938.1"	"NP_001186867.1"
"3"	"EBLN2"	"endogenous Bornavirus-like nucleoprotein 2"	"NM_018029.3"	"NP_060499.3"
"1"	"EBNA1BP2"	"transcript variant 1"	"NM_001159936.1"	"NP_001153408.1"
"X"	"EBP"	"emopamil binding protein (sterol isomerase)"	"NM_006579.2"	"NP_006570.1"
"13"	"EBPL"	"emopamil binding protein-like"	"NM_032565.3"	"NP_115954.1"
"10"	"ECD"	"transcript variant 1"	"NM_007265.2"	"NP_009196.1"
"1"	"ECE1"	"transcript variant 1"	"NM_001397.2"	"NP_001388.1"
"3"	"ECE2"	"transcript variant 1"	"NM_014693.3"	"NP_055508.3"
"2"	"ECEL1"	"endothelin converting enzyme-like 1"	"NM_004826.2"	"NP_004817.2"
"2"	"ECEL1P2"	"endothelin converting enzyme-like 1, pseudogene 2"	"NR_028501.1"	""
"19"	"ECH1"	"enoyl CoA hydratase 1, peroxisomal"	"NM_001398.2"	"NP_001389.2"
"6"	"ECHDC1"	"transcript variant 1"	"NM_001002030.1"	"NP_001002030.1"
"1"	"ECHDC2"	"transcript variant 2"	"NM_018281.3"	"NP_060751.2"
"10"	"ECHDC3"	"enoyl CoA hydratase domain containing 3"	"NM_024693.4"	"NP_078969.2"
"10"	"ECHS1"	"enoyl CoA hydratase, short chain, 1, mitochondrial"	"NM_004092.3"	"NP_004083.3"
"16"	"ECI1"	"transcript variant 2"	"NM_001178029.1"	"NP_001171500.1"
"6"	"ECI2"	"transcript variant 1"	"NM_006117.2"	"NP_006108.2"
"1"	"ECM1"	"transcript variant 1"	"NM_004425.3"	"NP_004416.2"
"9"	"ECM2"	"transcript variant 1"	"NM_001393.3"	"NP_001384.1"
"5"	"ECSCR"	"endothelial cell surface expressed chemotaxis and apoptosis regulator"	"NM_001077693.2"	"NP_001071161.1"
"19"	"ECSIT"	"transcript variant 1"	"NM_016581.4"	"NP_057665.2"
"3"	"ECT2"	"transcript variant 3"	"NM_018098.5"	"NP_060568.3"
"6"	"ECT2L"	"transcript variant 1"	"NM_001077706.2"	"NP_001071174.1"
"X"	"EDA"	"transcript variant 1"	"NM_001399.4"	"NP_001390.1"
"X"	"EDA2R"	"transcript variant 2"	"NM_021783.3"	"NP_068555.1"
"2"	"EDAR"	"ectodysplasin A receptor"	"NM_022336.3"	"NP_071731.1"
"1"	"EDARADD"	"transcript variant A"	"NM_145861.2"	"NP_665860.2"
"15"	"EDC3"	"transcript variant 3"	"NM_025083.3"	"NP_079359.2"
"16"	"EDC4"	"enhancer of mRNA decapping 4"	"NM_014329.4"	"NP_055144.3"
"14"	"EDDM3A"	"epididymal protein 3A"	"NM_006683.4"	"NP_006674.2"
"14"	"EDDM3B"	"epididymal protein 3B"	"NM_022360.4"	"NP_071755.1"
"3"	"EDEM1"	"ER degradation enhancer, mannosidase alpha-like 1"	"NM_014674.2"	"NP_055489.1"
"20"	"EDEM2"	"transcript variant 1"	"NM_018217.2"	"NP_060687.2"
"1"	"EDEM3"	"ER degradation enhancer, mannosidase alpha-like 3"	"NM_025191.3"	"NP_079467.3"
"9"	"EDF1"	"transcript variant alpha"	"NM_003792.2"	"NP_003783.1"
"5"	"EDIL3"	"EGF-like repeats and discoidin I-like domains 3"	"NM_005711.3"	"NP_005702.3"
"6"	"EDN1"	"transcript variant 2"	"NM_001168319.1"	"NP_001161791.1"
"1"	"EDN2"	"endothelin 2"	"NM_001956.3"	"NP_001947.1"
"20"	"EDN3"	"transcript variant 1"	"NM_000114.2"	"NP_000105.1"
"4"	"EDNRA"	"transcript variant 2"	"NM_001166055.1"	"NP_001159527.1"
"13"	"EDNRB"	"transcript variant 1"	"NM_000115.3"	"NP_000106.1"
"12"	"EEA1"	"early endosome antigen 1"	"NM_003566.3"	"NP_003557.2"
"11"	"EED"	"transcript variant 1"	"NM_003797.3"	"NP_003788.2"
"6"	"EEF1A1"	"eukaryotic translation elongation factor 1 alpha 1"	"NM_001402.5"	"NP_001393.1"
"20"	"EEF1A2"	"eukaryotic translation elongation factor 1 alpha 2"	"NM_001958.3"	"NP_001949.1"
"2"	"EEF1B2"	"transcript variant 3"	"NM_001037663.1"	"NP_001032752.1"
"8"	"EEF1D"	"transcript variant 1"	"NM_032378.4"	"NP_115754.3"
"13"	"EEF1DP3"	"eukaryotic translation elongation factor 1 delta pseudogene 3"	"NR_027062.1"	""
"6"	"EEF1E1"	"transcript variant 1"	"NM_004280.4"	"NP_004271.1"
"11"	"EEF1G"	"eukaryotic translation elongation factor 1 gamma"	"NM_001404.4"	"NP_001395.1"
"19"	"EEF2"	"eukaryotic translation elongation factor 2"	"NM_001961.3"	"NP_001952.1"
"16"	"EEF2K"	"eukaryotic elongation factor-2 kinase"	"NM_013302.3"	"NP_037434.1"
"3"	"EEFSEC"	"eukaryotic elongation factor, selenocysteine-tRNA-specific"	"NM_021937.3"	"NP_068756.2"
"7"	"EEPD1"	"endonuclease/exonuclease/phosphatase family domain containing 1"	"NM_030636.2"	"NP_085139.2"
"8"	"EFCAB1"	"transcript variant 1"	"NM_024593.3"	"NP_078869.1"
"7"	"EFCAB10"	"EF-hand calcium binding domain 10"	"NR_027068.1"	""
"14"	"EFCAB11"	"EF-hand calcium binding domain 11"	"NM_145231.2"	"NP_660274.1"
"3"	"EFCAB12"	"EF-hand calcium binding domain 12"	"NM_207307.1"	"NP_997190.1"
"1"	"EFCAB2"	"transcript variant 2"	"NM_001143943.1"	"NP_001137415.1"
"17"	"EFCAB3"	"transcript variant 2"	"NM_173503.3"	"NP_775774.1"
"11"	"EFCAB4A"	"EF-hand calcium binding domain 4A"	"NM_173584.3"	"NP_775855.3"
"12"	"EFCAB4B"	"transcript variant 3"	"NM_032680.3"	"NP_116069.1"
"17"	"EFCAB5"	"transcript variant 1"	"NM_198529.3"	"NP_940931.2"
"22"	"EFCAB6"	"transcript variant 1"	"NM_022785.3"	"NP_073622.2"
"22"	"EFCAB6-AS1"	"EFCAB6 antisense RNA 1"	"NR_046563.1"	""
"1"	"EFCAB7"	"EF-hand calcium binding domain 7"	"NM_032437.2"	"NP_115813.2"
"20"	"EFCAB8"	"EF-hand calcium binding domain 8"	"XM_003118799.2"	"XP_003118847.2"
"5"	"EFCAB9"	"EF-hand calcium binding domain 9"	"NM_001171183.1"	"NP_001164654.1"
"2"	"EFEMP1"	"transcript variant 2"	"NM_001039348.2"	"NP_001034437.1"
"11"	"EFEMP2"	"transcript variant 1"	"NM_016938.4"	"NP_058634.4"
"13"	"EFHA1"	"EF-hand domain family, member A1"	"NM_152726.2"	"NP_689939.1"
"8"	"EFHA2"	"EF-hand domain family, member A2"	"NM_181723.2"	"NP_859074.1"
"3"	"EFHB"	"EF-hand domain family, member B"	"NM_144715.3"	"NP_653316.3"
"6"	"EFHC1"	"transcript variant A"	"NM_018100.3"	"NP_060570.2"
"X"	"EFHC2"	"EF-hand domain (C-terminal) containing 2"	"NM_025184.3"	"NP_079460.2"
"2"	"EFHD1"	"transcript variant 1"	"NM_025202.3"	"NP_079478.1"
"1"	"EFHD2"	"EF-hand domain family, member D2"	"NM_024329.5"	"NP_077305.2"
"1"	"EFNA1"	"transcript variant 1"	"NM_004428.2"	"NP_004419.2"
"19"	"EFNA2"	"ephrin-A2"	"NM_001405.3"	"NP_001396.2"
"1"	"EFNA3"	"ephrin-A3"	"NM_004952.4"	"NP_004943.1"
"1"	"EFNA4"	"transcript variant 1"	"NM_005227.2"	"NP_005218.1"
"5"	"EFNA5"	"ephrin-A5"	"NM_001962.2"	"NP_001953.1"
"X"	"EFNB1"	"ephrin-B1"	"NM_004429.4"	"NP_004420.1"
"13"	"EFNB2"	"ephrin-B2"	"NM_004093.3"	"NP_004084.1"
"17"	"EFNB3"	"ephrin-B3"	"NM_001406.3"	"NP_001397.1"
"8"	"EFR3A"	"EFR3 homolog A (S. cerevisiae)"	"NM_015137.4"	"NP_055952.2"
"2"	"EFR3B"	"EFR3 homolog B (S. cerevisiae)"	"NM_014971.1"	"NP_055786.1"
"14"	"EFS"	"transcript variant 1"	"NM_005864.2"	"NP_005855.1"
"15"	"EFTUD1"	"transcript variant 1"	"NM_024580.5"	"NP_078856.4"
"17"	"EFTUD2"	"transcript variant 1"	"NM_004247.3"	"NP_004238.3"
"4"	"EGF"	"transcript variant 2"	"NM_001178130.1"	"NP_001171601.1"
"3"	"EGFEM1P"	"EGF-like and EMI domain containing 1, pseudogene"	"NR_021485.2"	""
"X"	"EGFL6"	"transcript variant 1"	"NM_015507.3"	"NP_056322.2"
"9"	"EGFL7"	"transcript variant 1"	"NM_016215.4"	"NP_057299.1"
"6"	"EGFL8"	"transcript variant 1"	"NM_030652.3"	"NP_085155.1"
"5"	"EGFLAM"	"transcript variant 1"	"NM_152403.3"	"NP_689616.2"
"5"	"EGFLAM-AS2"	"EGFLAM antisense RNA 2"	"XR_108572.1"	""
"5"	"EGFLAM-AS4"	"EGFLAM antisense RNA 4"	"NR_046219.1"	""
"7"	"EGFR"	"transcript variant 1"	"NM_005228.3"	"NP_005219.2"
"1"	"EGLN1"	"egl nine homolog 1 (C. elegans)"	"NM_022051.2"	"NP_071334.1"
"19"	"EGLN2"	"transcript variant 1"	"NM_053046.3"	"NP_444274.1"
"14"	"EGLN3"	"egl nine homolog 3 (C. elegans)"	"NM_022073.3"	"NP_071356.1"
"3"	"EGOT"	"eosinophil granule ontogeny transcript (non-protein coding)"	"NR_004428.1"	""
"5"	"EGR1"	"early growth response 1"	"NM_001964.2"	"NP_001955.1"
"10"	"EGR2"	"transcript variant 1"	"NM_000399.3"	"NP_000390.2"
"8"	"EGR3"	"transcript variant 1"	"NM_004430.2"	"NP_004421.2"
"2"	"EGR4"	"early growth response 4"	"NM_001965.3"	"NP_001956.3"
"2"	"EHBP1"	"transcript variant 1"	"NM_015252.3"	"NP_056067.2"
"11"	"EHBP1L1"	"EH domain binding protein 1-like 1"	"NM_001099409.1"	"NP_001092879.1"
"11"	"EHD1"	"EH-domain containing 1"	"NM_006795.2"	"NP_006786.2"
"19"	"EHD2"	"EH-domain containing 2"	"NM_014601.3"	"NP_055416.2"
"2"	"EHD3"	"EH-domain containing 3"	"NM_014600.2"	"NP_055415.1"
"15"	"EHD4"	"EH-domain containing 4"	"NM_139265.3"	"NP_644670.1"
"11"	"EHF"	"transcript variant 2"	"NM_012153.5"	"NP_036285.2"
"3"	"EHHADH"	"transcript variant 2"	"NM_001166415.1"	"NP_001159887.1"
"3"	"EHHADH-AS1"	"EHHADH antisense RNA 1"	"NR_038990.1"	""
"9"	"EHMT1"	"transcript variant 1"	"NM_024757.4"	"NP_079033.4"
"6"	"EHMT2"	"transcript variant NG36/G9a"	"NM_006709.3"	"NP_006700.3"
"11"	"EI24"	"etoposide induced 2.4 mRNA, transcript variant 1"	"NM_004879.3"	"NP_004870.3"
"15"	"EID1"	"EP300 interacting inhibitor of differentiation 1"	"NM_014335.2"	"NP_055150.1"
"19"	"EID2"	"EP300 interacting inhibitor of differentiation 2"	"NM_153232.3"	"NP_694964.3"
"19"	"EID2B"	"EP300 interacting inhibitor of differentiation 2B"	"NM_152361.1"	"NP_689574.1"
"12"	"EID3"	"EP300 interacting inhibitor of differentiation 3"	"NM_001008394.2"	"NP_001008395.1"
"17"	"EIF1"	"eukaryotic translation initiation factor 1"	"NM_005801.3"	"NP_005792.1"
"11"	"EIF1AD"	"transcript variant 3"	"NM_032325.3"	"NP_115701.2"
"X"	"EIF1AX"	"eukaryotic translation initiation factor 1A, X-linked"	"NM_001412.3"	"NP_001403.1"
"Y"	"EIF1AY"	"eukaryotic translation initiation factor 1A, Y-linked"	"NM_004681.2"	"NP_004672.2"
"3"	"EIF1B"	"eukaryotic translation initiation factor 1B"	"NM_005875.2"	"NP_005866.1"
"3"	"EIF2A"	"eukaryotic translation initiation factor 2A, 65kDa"	"NM_032025.3"	"NP_114414.2"
"7"	"EIF2AK1"	"transcript variant 1"	"NM_014413.3"	"NP_055228.2"
"2"	"EIF2AK2"	"transcript variant 1"	"NM_002759.3"	"NP_002750.1"
"2"	"EIF2AK3"	"eukaryotic translation initiation factor 2-alpha kinase 3"	"NM_004836.5"	"NP_004827.4"
"15"	"EIF2AK4"	"eukaryotic translation initiation factor 2 alpha kinase 4"	"NM_001013703.2"	"NP_001013725.2"
"12"	"EIF2B1"	"eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa"	"NM_001414.3"	"NP_001405.1"
"14"	"EIF2B2"	"eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa"	"NM_014239.3"	"NP_055054.1"
"1"	"EIF2B3"	"transcript variant 1"	"NM_020365.4"	"NP_065098.1"
"2"	"EIF2B4"	"transcript variant 2"	"NM_001034116.1"	"NP_001029288.1"
"3"	"EIF2B5"	"eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa"	"NM_003907.2"	"NP_003898.2"
"1"	"EIF2C1"	"eukaryotic translation initiation factor 2C, 1"	"NM_012199.2"	"NP_036331.1"
"8"	"EIF2C2"	"transcript variant 2"	"NM_001164623.1"	"NP_001158095.1"
"1"	"EIF2C3"	"transcript variant 1"	"NM_024852.3"	"NP_079128.2"
"1"	"EIF2C4"	"eukaryotic translation initiation factor 2C, 4"	"NM_017629.3"	"NP_060099.2"
"1"	"EIF2D"	"transcript variant 1"	"NM_006893.2"	"NP_008824.2"
"14"	"EIF2S1"	"eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa"	"NM_004094.4"	"NP_004085.1"
"20"	"EIF2S2"	"eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa"	"NM_003908.3"	"NP_003899.2"
"X"	"EIF2S3"	"eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa"	"NM_001415.3"	"NP_001406.1"
"10"	"EIF3A"	"eukaryotic translation initiation factor 3, subunit A"	"NM_003750.2"	"NP_003741.1"
"7"	"EIF3B"	"transcript variant 2"	"NM_001037283.1"	"NP_001032360.1"
"16"	"EIF3C"	"transcript variant 1"	"NM_003752.3"	"NP_003743.1"
"16"	"EIF3CL"	"eukaryotic translation initiation factor 3, subunit C-like"	"NM_001099661.1"	"NP_001093131.1"
"22"	"EIF3D"	"eukaryotic translation initiation factor 3, subunit D"	"NM_003753.3"	"NP_003744.1"
"8"	"EIF3E"	"eukaryotic translation initiation factor 3, subunit E"	"NM_001568.2"	"NP_001559.1"
"11"	"EIF3F"	"eukaryotic translation initiation factor 3, subunit F"	"NM_003754.2"	"NP_003745.1"
"19"	"EIF3G"	"eukaryotic translation initiation factor 3, subunit G"	"NM_003755.3"	"NP_003746.2"
"8"	"EIF3H"	"eukaryotic translation initiation factor 3, subunit H"	"NM_003756.2"	"NP_003747.1"
"1"	"EIF3I"	"eukaryotic translation initiation factor 3, subunit I"	"NM_003757.2"	"NP_003748.1"
"7"	"EIF3IP1"	"eukaryotic translation initiation factor 3, subunit I pseudogene 1"	"NR_003024.1"	""
"15"	"EIF3J"	"eukaryotic translation initiation factor 3, subunit J"	"NM_003758.2"	"NP_003749.2"
"19"	"EIF3K"	"eukaryotic translation initiation factor 3, subunit K"	"NM_013234.2"	"NP_037366.1"
"22"	"EIF3L"	"transcript variant 1"	"NM_016091.3"	"NP_057175.1"
"11"	"EIF3M"	"eukaryotic translation initiation factor 3, subunit M"	"NM_006360.4"	"NP_006351.2"
"17"	"EIF4A1"	"transcript variant 1"	"NM_001416.3"	"NP_001407.1"
"3"	"EIF4A2"	"eukaryotic translation initiation factor 4A2"	"NM_001967.3"	"NP_001958.2"
"17"	"EIF4A3"	"eukaryotic translation initiation factor 4A3"	"NM_014740.3"	"NP_055555.1"
"12"	"EIF4B"	"eukaryotic translation initiation factor 4B"	"NM_001417.4"	"NP_001408.2"
"4"	"EIF4E"	"transcript variant 1"	"NM_001968.3"	"NP_001959.1"
"5"	"EIF4E1B"	"eukaryotic translation initiation factor 4E family member 1B"	"NM_001099408.1"	"NP_001092878.1"
"2"	"EIF4E2"	"eukaryotic translation initiation factor 4E family member 2"	"NM_004846.2"	"NP_004837.1"
"3"	"EIF4E3"	"transcript variant 2"	"NM_173359.4"	"NP_775495.1"
"8"	"EIF4EBP1"	"eukaryotic translation initiation factor 4E binding protein 1"	"NM_004095.3"	"NP_004086.1"
"10"	"EIF4EBP2"	"eukaryotic translation initiation factor 4E binding protein 2"	"NM_004096.4"	"NP_004087.1"
"5"	"EIF4EBP3"	"eukaryotic translation initiation factor 4E binding protein 3"	"NM_003732.2"	"NP_003723.1"
"22"	"EIF4ENIF1"	"transcript variant 1"	"NM_019843.3"	"NP_062817.2"
"3"	"EIF4G1"	"transcript variant 1"	"NM_182917.4"	"NP_886553.3"
"11"	"EIF4G2"	"transcript variant 1"	"NM_001418.3"	"NP_001409.3"
"1"	"EIF4G3"	"transcript variant 3"	"NM_003760.4"	"NP_003751.2"
"7"	"EIF4H"	"transcript variant 1"	"NM_022170.1"	"NP_071496.1"
"14"	"EIF5"	"transcript variant 1"	"NM_001969.4"	"NP_001960.2"
"17"	"EIF5A"	"transcript variant B"	"NM_001970.4"	"NP_001961.1"
"3"	"EIF5A2"	"eukaryotic translation initiation factor 5A2"	"NM_020390.5"	"NP_065123.1"
"10"	"EIF5AL1"	"eukaryotic translation initiation factor 5A-like 1"	"NM_001099692.1"	"NP_001093162.1"
"2"	"EIF5B"	"eukaryotic translation initiation factor 5B"	"NM_015904.3"	"NP_056988.3"
"20"	"EIF6"	"transcript variant 1"	"NM_002212.3"	"NP_002203.1"
"18"	"ELAC1"	"elaC homolog 1 (E. coli)"	"NM_018696.2"	"NP_061166.1"
"17"	"ELAC2"	"transcript variant 3"	"NM_001165962.1"	"NP_001159434.1"
"19"	"ELANE"	"elastase, neutrophil expressed"	"NM_001972.2"	"NP_001963.1"
"19"	"ELAVL1"	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)"	"NM_001419.2"	"NP_001410.2"
"9"	"ELAVL2"	"transcript variant 1"	"NM_004432.3"	"NP_004423.2"
"19"	"ELAVL3"	"transcript variant 1"	"NM_001420.3"	"NP_001411.2"
"1"	"ELAVL4"	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D), transcript variant 1"	"NM_021952.3"	"NP_068771.2"
"13"	"ELF1"	"transcript variant 1"	"NM_172373.3"	"NP_758961.1"
"4"	"ELF2"	"transcript variant 2"	"NM_006874.2"	"NP_006865.1"
"1"	"ELF3"	"transcript variant 1"	"NM_004433.4"	"NP_004424.3"
"X"	"ELF4"	"transcript variant 1"	"NM_001421.3"	"NP_001412.1"
"11"	"ELF5"	"transcript variant 1"	"NM_198381.1"	"NP_938195.1"
"7"	"ELFN1"	"extracellular leucine-rich repeat and fibronectin type III domain containing 1"	"NM_001128636.2"	"NP_001122108.1"
"22"	"ELFN2"	"extracellular leucine-rich repeat and fibronectin type III domain containing 2"	"NM_052906.3"	"NP_443138.2"
"X"	"ELK1"	"transcript variant 2"	"NM_005229.4"	"NP_005220.2"
